#B1SiPM1
31	6.62008	0.0708825	0.773679	0.0163536
31.5	8.36258	0.0235554	1.16779	0.0238417
32	10.0425	0.0292436	1.46839	0.0311403
32.5	11.8816	0.0366433	1.97607	0.0442535


#B1SiPM2
30.5	4.70275	0.0120971	0.886128	0.0181917
31.5	8.38808	0.0360722	1.06907	0.0496311
32.0	10.2102	0.0401543	1.41401	0.0438379
32.5	11.9507	0.0396707	1.7961	0.042997
33.0	13.4935	0.0678029	2.11971	0.0564542


#B3SiPM1
31	6.91007	0.0485985	0.754148	0.0161575
31.5	8.7329	0.0205469	1.12778	0.0236775
32	10.6102	0.0260638	1.55789	0.0334967
32.5	12.3241	0.0381842	1.89308	0.0439468
33	13.9927	0.0594523	2.12329	0.0547564


#B5SiPM1
31	9.17433	0.0146228	0.767788	0.0171182
31.5	10.8104	0.0164622	0.943325	0.0209071
32	12.5847	0.0274149	1.05805	0.024379
32.5	14.3292	0.0347415	1.16118	0.0274713
33	16.187	0.0459784	1.17614	0.0297383


#B5SiPM2
30.5	8.34195	0.0137056	0.601821	0.0136956
31	10.3246	0.0156233	0.785036	0.0174696
31.5	12.2705	0.0164604	0.951344	0.0211987
32	14.3988	0.0287562	1.0748	0.0244949
32.5	16.2977	0.0404614	1.14595	0.027417
33	18.9324	0.0899881	1.13951	0.0295392
31.5	8.36258	0.0235554	1.16779	0.0238417


#F2
30.0	6.15229	22.0753	0.388035	0.00981042
30.5	8.13576	0.388214	0.537232	0.0124769
31.0	9.90651	0.0277224	0.688139	0.0153762
31.5	11.8572	0.0427454	0.732584	0.0167678
32.0	14.0564	0.00613997	0.900128	0.0204404
32.5	15.6694	0.0360313	0.935302	0.0219696


#F1
30.5	8.68686	0.0824696	0.484031	0.0116283
31.0	10.8858	0.0182965	0.677755	0.0153564
31.5	12.7691	0.0106125	0.844807	0.0187228
32.0	15.2526	0.0408822	0.787461	0.0185485
32.5	17.4037	0.0441265	0.95369	0.0225737
30.0	6.04852	9.79451	0.388035	0.00981042
30.0	6.15229	22.0753	0.388035	0.00981042
32.0	13.7047	0.130719	0.827586	0.0205005
31.5	10.3646	0.0698701	0.805886	0.0178864
33.0	15.7256	0.0329642	1.12821	0.0274612
32.5	13.8966	0.0441357	1.03906	0.0241195
32.0	12.0933	0.0209598	0.965016	0.0217292
31.5	10.3646	0.0698701	0.805886	0.0178864
33.0	15.7741	0.0063084	1.17001	0.0284324
32.0	12.0933	0.0209598	0.965016	0.0217292
32.5	14.0526	0.0130318	1.11468	0.0257601
31.0	8.40841	0.0297246	0.630958	0.0142806
30.0	1.0011	3.05388	-nan	-nan
30.5	6.66719	0.265511	0.521934	0.0121368
30.0	6.72751	36.1326	0.41174	0.0102024
30.5	8.20391	0.0313361	0.60114	0.0136242
31.0	10.1611	0.0978721	0.727754	0.016213
31.5	12.1217	0.0294954	0.852286	0.0188743
32.0	14.1738	0.0202443	0.931057	0.0211651
32.5	32.396	0.0591021	0.519001	0.0133206
32.5	32.396	0.0591021	0.519001	0.0133206
32.0	14.1738	0.0202443	0.931057	0.0211651
33.0	18.4151	0.0316208	1.14489	0.0282864
32.5	32.396	0.0591021	0.519001	0.0133206
33.0	21.8031	3.00601	0.824353	0.0201823
33.0	15.1958	0.0408778	1008	356.735
32.5	14.0806	0.0358394	813.333	235.078
32.5	13.9576	0.0319557	241.4	38.3265
32.0	11.7446	20.519	123.739	13.0045
32.0	11.7446	20.519	123.739	13.0045
31.5	10.0035	0.0107758	1088	314.367
31.0	9.50667	0.0516753	inf	inf
30.5	7.88094	0.0289797	inf	inf
30.5	7.90497	0.186621	inf	inf
30.5	7.38105	0.263453	inf	inf
31.0	9.16829	0.0490942	inf	inf
31.5	11.1827	0.0289221	193.529	23.5898
32.0	12.8965	0.0366135	420.571	79.6693
32.0	12.8965	0.0366135	420.571	79.6693
32.5	14.8189	0.0436268	149.176	18.2112
33.0	16.9821	0.0400025	70	6.48074
33.0	16.9821	0.0400025	70	6.48074
33.0	16.7733	0.0593917	565	141.5
test.root	10.1562	23.2988	0.944099	0.0207751
test	10.1562	23.2988	0.944099	0.0207751
test2705.root	34.375	32.1226	0.0869565	0.0444134
test27052.root	20.5	29.1307	0.437726	0.0109718
test	20.5	29.1307	2	0.816497
test	20.5	29.1307	2	0.816497
	17.9688	27.981	1.09839	0.0261942
	17.1875	27.5928	1.12915	0.0192773
	15.625	26.7675	1.0453	0.017405
test	20.5	29.1307	0.461538	0.0265476
test	11.7188	24.393	0.892857	0.0480226
prova1	10.9375	23.8576	0.960289	0.0506522
A_sx32_8	11.7188	24.393	0.944551	0.0364621
A_sx31_4	10.1562	23.2988	0.860294	0.0336279
A_sx31	8.59375	22.1023	0.730897	0.0287907
A_sx30_5	14.8438	26.3296	0.183515	0.0124818
A_sx30	20.5	29.1307	0.0138889	0.00696852
Asx_30	20.5	29.1307	0	0
A_sx_30	5.46875	19.7085	0.44405	0.0219526
A_sx_30	5.46875	19.7085	0.35422	0.0115455
A_sx29_5	3.90625	21.4447	0.276018	0.0108832
A_sx29	20.5	29.1307	-nan	-nan
A_sx29	2.1875	23.9189	0.113886	0.00775406
A_sx28_5	20.5	29.1307	-nan	-nan
B_sx28_5	20.5	29.1307	-nan	-nan
B_sx29	20.5	29.1307	-nan	-nan
B_sx_29_5	20.5	29.1307	-nan	-nan
B_sx_31	20.5	29.1307	-nan	-nan
B_sx_30	20.5	29.1307	-nan	-nan
pr	20.5	29.1307	-nan	-nan
pr1	20.5	29.1307	-nan	-nan
pr2	20.5	29.1307	-nan	-nan
pr3	20.5	29.1307	-nan	-nan
pr4	20.5	29.1307	-nan	-nan
pr5	20.5	29.1307	-nan	-nan
pr7	20.5	29.1307	-nan	-nan
C_dx	8.125	21.7203	7.25968	0.125973
C_dx_32	8.59375	22.1023	6.38046	0.107027
C_dx_32	8.125	21.7203	8.85635	0.257683
C_dx_32	10.9375	23.8576	2.67343	0.0795973
C_dx_31_5	20.5	29.1307	0	0
C_dx_31_5	20.5	29.1307	0.496589	0.0102816
C_dx_31	7.03125	20.7801	1.92884	0.0319579
C_dx_30_5	5.46875	19.7085	1.55315	0.0249292
C_dx_30	4.6875	20.5375	0.963748	0.0156273
C_dx_30	4.29688	20.9799	0.856854	0.014357
C_dx_29_5	20.5	29.1307	0	0
C_dx_29	20.5	29.1307	-nan	-nan
C_dx_29	20.5	29.1307	-nan	-nan
C_dx_29	20.5	29.1307	-nan	-nan
C_sx_29	20.5	29.1307	0	0
C_sx_32	21.875	29.687	0.195612	0.00990689
C_sx_31_5	10.1562	23.2988	1.11576	0.0196713
C_sx_31	9.375	22.7145	0.999582	0.017706
C_sx_30_5	9.375	22.7145	1.00757	0.0178488
C_sx_30	8.59375	22.1023	0.879902	0.0160868
C_sx_29_5	9.375	22.7145	0.887622	0.0161525
A_dx_32	20.5	29.1307	0.0601781	0.00308484
A_dx_31_5	20.5	29.1307	0.0783833	0.00353132
A_dx_31	20.5	29.1307	0.0646884	0.00314772
A_dx_30_5	20.5	29.1307	0.0361111	0.00252636
